4449,1,OracleFinancialsLibrary,3/15/2017 17:46:21 PM,Passed,3/15/2017 17:46:16 PM,basic.step,OracleFinancials,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4128,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.0.9600.18537",,3664,Passed,"",basic.step,
"Iteration Total (sec)",,74,Passed,"",basic.iteration,
"Finish Total (sec)",,45,Passed,"",basic.finish,
