93053,1,03_CM_to_GL,5/02/2017 19:30:37 PM,Passed,5/02/2017 19:29:03 PM,basic.step,AP_Cash_Management,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Close window(""@name='PAYMENTS_SUM_FOLDER_WINDOW'"")",,492,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_invokeResponsibility",,10360,Passed,"",basic.stepGroup,
"SelectMenuItem window(""@name='NAVIGATOR'"") File|Switch Responsibility...",,5173,Passed,"",ft.action,
"Activate listOfValues(""forms:listOfValues"")",,2064,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectResponsibility",,388,Passed,"",basic.stepGroup,
"Select listOfValues(""forms:listOfValues"") CORP Payables Manager",,288,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectNavigator_function",,1324,Passed,"",basic.stepGroup,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Other",,260,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectNavigator_function",,1203,Passed,"",basic.stepGroup,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Other|Requests",,141,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectNavigator_function",,2618,Passed,"",basic.stepGroup,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Other|Requests|Run",,1562,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_clickButton",,2695,Passed,"",basic.stepGroup,
"Click button(""@name='WHAT_TYPE_OK_0'"")",,629,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_setTextField",,1998,Passed,"",basic.stepGroup,
"InvokeSoftKey textField(""@name='WORK_ORDER_USER_CONCURRENT_PROGRAM_NAME_0'"")",,1945,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_setFlexWindow",,182,Passed,"",basic.stepGroup,
"SetText flexWindow(""forms:flexWindow"") Ledger, , Accident Compensation Corp",,121,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_setFlexWindow",,122,Passed,"",basic.stepGroup,
"SetText flexWindow(""forms:flexWindow"") End Date, , 30-04-2017",,51,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_setFlexWindow",,153,Passed,"",basic.stepGroup,
"SetText flexWindow(""forms:flexWindow"") General Ledger Batch Name, , MTCashMgmtToGL01",,84,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_flexWindowClickOK",,2339,Passed,"",basic.stepGroup,
"ClickOk flexWindow(""forms:flexWindow"")",,285,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_clickButton",,5406,Passed,"",basic.stepGroup,
"Click button(""@name='WORK_ORDER_SUBMIT_0'"")",,3313,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_getSubmitRequestIDByIndex",,78,Passed,"",basic.stepGroup,
"Call Function: OracleFinancialsLibrary.forms_waitForStatusChangedByRequestID",,33107,Passed,"",basic.stepGroup,
"Click button(""@name='JOBS_CHANGE_QUERY_0'"")",,724,Passed,"",ft.action,
"SelectItem radioGroup(""@name='JOBS_QF_WHICH_JOBS_SPECIFIC_JOBS_0'"")",,235,Passed,"",ft.action,
"SetText textField(""@name='JOBS_QF_REQUEST_ID_0'"") 71544043",,217,Passed,"",ft.action,
"Click button(""@name='JOBS_QF_FIND_0'"")",,632,Passed,"",ft.action,
"Click button(""@name='JOBS_REFRESH_0'"")",,415,Passed,"",ft.action,
"Click button(""@name='JOBS_REFRESH_0'"")",,418,Passed,"",ft.action,
"Finish Total (sec)",,45,Passed,"",basic.finish,
