93053,1,03_CM_to_GL,5/02/2017 19:30:37 PM,Passed,5/02/2017 19:29:03 PM,basic.step,AP_Cash_Management,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4212,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.0.9600.18638",,3740,Passed,"",basic.step,
"Iteration Total (sec)",,88579,Passed,"",basic.iteration,
"Call Function: OracleFinancialsLibrary.web_login",,6468,Passed,"",basic.stepGroup,
"Navigate https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/RF.jsp?function_id=30290&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=Jknr8tW4I..B4KKQLHC-AA&oas=04JcU4po2tgHxnohZKaQCA..",,176,Passed,"",ft.action,
"WaitForPage https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/RF.jsp?function_id=30290&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=Jknr8tW4I..B4KKQLHC-AA&oas=04JcU4po2tgHxnohZKaQCA..",,1634,Passed,"",web.pageComplete,
"Frame (URL=https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"SetText textBox(""@id='unamebean'"") TANK",,162,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,62,Passed,"",ft.action,
"Click button(""@id='SubmitButton'"")",,141,Passed,"",ft.action,
"WaitForPage https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",,1702,Passed,"",web.pageComplete,
"Frame (URL=https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Call Function: OracleFinancialsLibrary.web_navigateToLink",,10584,Passed,"",basic.stepGroup,
"Click link("""")",,223,Passed,"",ft.action,
"Click link("""")",,130,Passed,"",ft.action,
"Click link("""")",,161,Passed,"",ft.action,
"Click link("""")",,104,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_waitForOracleFormsReady",,8684,Passed,"",basic.stepGroup,
