138677,1,02_CORP_Reconcile_Payments,5/02/2017 19:08:49 PM,Passed,5/02/2017 19:06:30 PM,basic.step,AP_Cash_Management,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Call Function: OracleFinancialsLibrary.forms_selectNavigator_function",,2216,Passed,"",basic.stepGroup,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Bank Statements",,152,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectNavigator_function",,4740,Passed,"",basic.stepGroup,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Bank Statements|Bank Statements and Reconciliation",,2680,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_clickButton",,3155,Passed,"",basic.stepGroup,
"Click button(""@name='CONTROL_FOLDER_REVIEW_B_0'"")",,1091,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_clickButton",,3975,Passed,"",basic.stepGroup,
"Click button(""@name='CONTROL_HEADERS_LINES_B_0'"")",,1914,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_closeWindow",,5728,Passed,"",basic.stepGroup,
"Close window(""@name='LINES'"")",,663,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_closeWindow",,5638,Passed,"",basic.stepGroup,
"Close window(""@name='HEADERS'"")",,582,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_closeWindow",,5516,Passed,"",basic.stepGroup,
"Close window(""@name='HEADERS_FOLDER'"")",,448,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_invokeResponsibility",,10302,Passed,"",basic.stepGroup,
"SelectMenuItem window(""@name='NAVIGATOR'"") File|Switch Responsibility...",,5155,Passed,"",ft.action,
"Activate listOfValues(""forms:listOfValues"")",,2058,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectResponsibility",,376,Passed,"",basic.stepGroup,
"Select listOfValues(""forms:listOfValues"") CORP Payables Manager",,311,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectNavigator_function",,2202,Passed,"",basic.stepGroup,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices",,140,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectNavigator_function",,2195,Passed,"",basic.stepGroup,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry",,140,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectNavigator_function",,7422,Passed,"",basic.stepGroup,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Invoices|Entry|Invoices",,5340,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_query_mode",,3470,Passed,"",basic.stepGroup,
"isMenuEnabled",,3412,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_setTextField",,2722,Passed,"",basic.stepGroup,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_NUM_0'"")",,2646,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_run",,13287,Passed,"",basic.stepGroup,
"isMenuEnabled",,13240,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_query_mode",,3443,Passed,"",basic.stepGroup,
"isMenuEnabled",,3385,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_setTextField",,2654,Passed,"",basic.stepGroup,
"InvokeSoftKey textField(""@name='INV_SUM_FOLDER_INVOICE_NUM_0'"")",,2598,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_run",,3446,Passed,"",basic.stepGroup,
"isMenuEnabled",,3395,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_closeWindow",,5770,Passed,"",basic.stepGroup,
"Close window(""@name='INVOICES_SUM_FOLDER_WINDOW'"")",,713,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectNavigator_function",,2311,Passed,"",basic.stepGroup,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Payments",,256,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectNavigator_function",,2248,Passed,"",basic.stepGroup,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Payments|Entry",,183,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectNavigator_function",,3518,Passed,"",basic.stepGroup,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Payments|Entry|Payments",,1465,Passed,"",ft.action,
"Finish Total (sec)",,49,Passed,"",basic.finish,
