138677,1,02_CORP_Reconcile_Payments,5/02/2017 19:08:49 PM,Passed,5/02/2017 19:06:30 PM,basic.step,AP_Cash_Management,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4104,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.0.9600.18638",,3636,Passed,"",basic.step,
"Iteration Total (sec)",,134314,Passed,"",basic.iteration,
"Call Function: OracleFinancialsLibrary.web_login",,6511,Passed,"",basic.stepGroup,
"Navigate https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/RF.jsp?function_id=30290&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=Jknr8tW4I..B4KKQLHC-AA&oas=04JcU4po2tgHxnohZKaQCA..",,182,Passed,"",ft.action,
"WaitForPage https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/RF.jsp?function_id=30290&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=Jknr8tW4I..B4KKQLHC-AA&oas=04JcU4po2tgHxnohZKaQCA..",,1611,Passed,"",web.pageComplete,
"Frame (URL=https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"SetText textBox(""@id='unamebean'"") TANK",,170,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,66,Passed,"",ft.action,
"Click button(""@id='SubmitButton'"")",,142,Passed,"",ft.action,
"WaitForPage https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",,1748,Passed,"",web.pageComplete,
"Frame (URL=https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Call Function: OracleFinancialsLibrary.web_navigateToLink",,10543,Passed,"",basic.stepGroup,
"Click link("""")",,203,Passed,"",ft.action,
"Click link("""")",,110,Passed,"",ft.action,
"Click link("""")",,110,Passed,"",ft.action,
"Click link("""")",,106,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_waitForOracleFormsReady",,8726,Passed,"",basic.stepGroup,
"Close window(""@name='PAYMENTS_SUM_FOLDER_WINDOW'"")",,549,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_invokeResponsibility",,10369,Passed,"",basic.stepGroup,
"SelectMenuItem window(""@name='NAVIGATOR'"") File|Switch Responsibility...",,5174,Passed,"",ft.action,
"Activate listOfValues(""forms:listOfValues"")",,2069,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectResponsibility",,404,Passed,"",basic.stepGroup,
"Select listOfValues(""forms:listOfValues"") CORP Cash Management User",,347,Passed,"",ft.action,
