77758,1,03_CM_to_GL,5/02/2017 19:35:23 PM,Passed,5/02/2017 19:34:05 PM,basic.step,AP_Cash_Management,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4152,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.0.9600.18638",,3602,Passed,"",basic.step,
"Iteration Total (sec)",,73318,Passed,"",basic.iteration,
"Call Function: OracleFinancialsLibrary.web_login",,6434,Passed,"",basic.stepGroup,
"Navigate https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/RF.jsp?function_id=30290&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=Jknr8tW4I..B4KKQLHC-AA&oas=04JcU4po2tgHxnohZKaQCA..",,169,Passed,"",ft.action,
"WaitForPage https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/RF.jsp?function_id=30290&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=Jknr8tW4I..B4KKQLHC-AA&oas=04JcU4po2tgHxnohZKaQCA..",,1621,Passed,"",web.pageComplete,
"Frame (URL=https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"SetText textBox(""@id='unamebean'"") TANK",,159,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,65,Passed,"",ft.action,
"Click button(""@id='SubmitButton'"")",,146,Passed,"",ft.action,
"WaitForPage https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",,1674,Passed,"",web.pageComplete,
"Frame (URL=https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Call Function: OracleFinancialsLibrary.web_navigateToLink",,10485,Passed,"",basic.stepGroup,
"Click link("""")",,215,Passed,"",ft.action,
"Click link("""")",,109,Passed,"",ft.action,
"Click link("""")",,107,Passed,"",ft.action,
"Click link("""")",,104,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_waitForOracleFormsReady",,8695,Passed,"",basic.stepGroup,
"Close window(""@name='PAYMENTS_SUM_FOLDER_WINDOW'"")",,442,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_invokeResponsibility",,10335,Passed,"",basic.stepGroup,
"SelectMenuItem window(""@name='NAVIGATOR'"") File|Switch Responsibility...",,5176,Passed,"",ft.action,
"Activate listOfValues(""forms:listOfValues"")",,2067,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectResponsibility",,373,Passed,"",basic.stepGroup,
"Select listOfValues(""forms:listOfValues"") CORP Payables Manager",,310,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectNavigator_function",,1310,Passed,"",basic.stepGroup,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Other",,245,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectNavigator_function",,1227,Passed,"",basic.stepGroup,
