77758,1,03_CM_to_GL,5/02/2017 19:35:23 PM,Passed,5/02/2017 19:34:05 PM,basic.step,AP_Cash_Management,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Other|Requests",,164,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectNavigator_function",,2441,Passed,"",basic.stepGroup,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Other|Requests|Run",,1385,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_clickButton",,2616,Passed,"",basic.stepGroup,
"Click button(""@name='WHAT_TYPE_OK_0'"")",,533,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_setTextField",,1694,Passed,"",basic.stepGroup,
"InvokeSoftKey textField(""@name='WORK_ORDER_USER_CONCURRENT_PROGRAM_NAME_0'"")",,1645,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_setFlexWindow",,125,Passed,"",basic.stepGroup,
"SetText flexWindow(""forms:flexWindow"") Ledger, , Accident Compensation Corp",,63,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_setFlexWindow",,110,Passed,"",basic.stepGroup,
"SetText flexWindow(""forms:flexWindow"") End Date, , 30-04-2017",,49,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_setFlexWindow",,143,Passed,"",basic.stepGroup,
"SetText flexWindow(""forms:flexWindow"") General Ledger Batch Name, , MTCashMgmtToGL01",,82,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_flexWindowClickOK",,2280,Passed,"",basic.stepGroup,
"ClickOk flexWindow(""forms:flexWindow"")",,224,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_clickButton",,3415,Passed,"",basic.stepGroup,
"Click button(""@name='WORK_ORDER_SUBMIT_0'"")",,1363,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_getSubmitRequestIDByIndex",,72,Passed,"",basic.stepGroup,
"Call Function: OracleFinancialsLibrary.forms_waitForStatusChangedByRequestID",,20656,Passed,"",basic.stepGroup,
"Click button(""@name='JOBS_CHANGE_QUERY_0'"")",,705,Passed,"",ft.action,
"SelectItem radioGroup(""@name='JOBS_QF_WHICH_JOBS_SPECIFIC_JOBS_0'"")",,234,Passed,"",ft.action,
"SetText textField(""@name='JOBS_QF_REQUEST_ID_0'"") 71544057",,211,Passed,"",ft.action,
"Click button(""@name='JOBS_QF_FIND_0'"")",,690,Passed,"",ft.action,
"Click button(""@name='JOBS_REFRESH_0'"")",,431,Passed,"",ft.action,
"Finish Total (sec)",,42,Passed,"",basic.finish,
